# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-8.07556e-05 -----------------
#dely    BF
0.050 -0.004665 -0.000041
0.150 -0.001216 -0.000011
0.250 -0.003065 -0.000029
0.350 -0.000825 -0.000008
0.450 0.000358 0.000004
0.550 -0.000225 -0.000003
0.650 0.000938 0.000012
0.750 0.001376 0.000020
0.850 0.001850 0.000030
0.950 0.001240 0.000024
1.050 0.001264 0.000029
1.150 0.001388 0.000039
1.250 0.000434 0.000017
1.350 0.000315 0.000017
1.450 0.000037 0.000005
1.550 -0.000013 -0.000005
1.650 0.000000 0.000000
1.750 0.000000 0.000000
