# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.110964 -----------------
#dely    BF
0.050 0.284675 0.000114
0.150 0.262020 0.000108
0.250 0.225574 0.000097
0.350 0.186760 0.000084
0.450 0.144242 0.000068
0.550 0.103134 0.000052
0.650 0.062514 0.000033
0.750 0.029667 0.000017
0.850 0.002207 0.000001
0.950 -0.018215 -0.000012
1.050 -0.030819 -0.000023
1.150 -0.036071 -0.000031
1.250 -0.035339 -0.000035
1.350 -0.029619 -0.000034
1.450 -0.022094 -0.000031
1.550 -0.013219 -0.000024
1.650 -0.005285 -0.000016
1.750 -0.000486 -0.000004
