# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0685247 -----------------
#dely    BF
0.050 0.092216 0.000038
0.150 0.085272 0.000036
0.250 0.077867 0.000034
0.350 0.071914 0.000033
0.450 0.064925 0.000031
0.550 0.057179 0.000029
0.650 0.048776 0.000026
0.750 0.042245 0.000024
0.850 0.034907 0.000021
0.950 0.028413 0.000019
1.050 0.022376 0.000016
1.150 0.017376 0.000013
1.250 0.013437 0.000011
1.350 0.010305 0.000010
1.450 0.007613 0.000008
1.550 0.005689 0.000008
1.650 0.003652 0.000006
1.750 0.001086 0.000003
