# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=3.87562e-05 -----------------
#dely    BF
0.050 -0.002259 -0.000002
0.150 -0.001980 -0.000002
0.250 -0.001240 -0.000001
0.350 -0.000097 -0.000000
0.450 0.000497 0.000001
0.550 0.000781 0.000001
0.650 0.001291 0.000002
0.750 0.001240 0.000002
0.850 0.001138 0.000002
0.950 0.000757 0.000001
1.050 0.000309 0.000001
1.150 0.000065 0.000000
1.250 -0.000041 -0.000000
1.350 0.000035 0.000000
1.450 -0.000125 -0.000001
1.550 0.000010 0.000000
1.650 0.000008 0.000000
1.750 -0.000000 -0.000000
