# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0505476 -----------------
#dely    BF
0.050 -0.114193 -0.000447
0.150 -0.102619 -0.000412
0.250 -0.085624 -0.000356
0.350 -0.061581 -0.000273
0.450 -0.044103 -0.000212
0.550 -0.029394 -0.000154
0.650 -0.018446 -0.000107
0.750 -0.013623 -0.000088
0.850 -0.009589 -0.000071
0.950 -0.008725 -0.000075
1.050 -0.006762 -0.000069
1.150 -0.005341 -0.000069
1.250 -0.003609 -0.000061
1.350 -0.001486 -0.000035
1.450 -0.000330 -0.000013
1.550 -0.000051 -0.000004
1.650 0.000000 0.000000
1.750 0.000000 0.000000
