# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.106488 -----------------
#dely    BF
0.050 -0.082886 -0.000033
0.150 -0.080252 -0.000033
0.250 -0.078369 -0.000034
0.350 -0.075691 -0.000034
0.450 -0.074191 -0.000035
0.550 -0.074548 -0.000037
0.650 -0.073285 -0.000038
0.750 -0.071552 -0.000040
0.850 -0.069815 -0.000042
0.950 -0.068686 -0.000044
1.050 -0.064706 -0.000045
1.150 -0.061264 -0.000046
1.250 -0.054523 -0.000046
1.350 -0.046861 -0.000044
1.450 -0.037592 -0.000041
1.550 -0.027689 -0.000036
1.650 -0.017187 -0.000030
1.750 -0.005779 -0.000017
