# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=1.01092e-05 -----------------
#dely    BF
0.050 -0.005486 -0.000016
0.150 -0.002822 -0.000008
0.250 -0.000626 -0.000002
0.350 0.001240 0.000005
0.450 0.002240 0.000010
0.550 0.001818 0.000010
0.650 0.001826 0.000012
0.750 0.001895 0.000015
0.850 0.000758 0.000007
0.950 0.000351 0.000004
1.050 -0.000265 -0.000004
1.150 -0.000192 -0.000003
1.250 -0.000488 -0.000012
1.350 -0.000057 -0.000002
1.450 -0.000071 -0.000004
1.550 -0.000021 -0.000002
1.650 0.000000 0.000000
1.750 0.000000 0.000000
