# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.199496 -----------------
#dely    BF
0.050 0.221208 0.000076
0.150 0.209860 0.000074
0.250 0.197619 0.000073
0.350 0.187403 0.000072
0.450 0.175395 0.000071
0.550 0.161207 0.000069
0.650 0.148973 0.000067
0.750 0.134587 0.000065
0.850 0.120774 0.000063
0.950 0.104939 0.000059
1.050 0.088839 0.000055
1.150 0.072963 0.000050
1.250 0.058189 0.000044
1.350 0.044438 0.000038
1.450 0.032424 0.000033
1.550 0.021131 0.000026
1.650 0.011475 0.000019
1.750 0.003531 0.000010
