# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-8.03331e-05 -----------------
#dely    BF
0.050 -0.004503 -0.000004
0.150 -0.003602 -0.000003
0.250 -0.002141 -0.000002
0.350 -0.000437 -0.000000
0.450 0.000526 0.000001
0.550 0.001713 0.000002
0.650 0.001870 0.000002
0.750 0.002037 0.000003
0.850 0.001729 0.000003
0.950 0.001068 0.000002
1.050 0.000534 0.000001
1.150 0.000256 0.000001
1.250 0.000077 0.000000
1.350 0.000038 0.000000
1.450 0.000027 0.000000
1.550 0.000007 0.000000
1.650 -0.000003 -0.000000
1.750 -0.000000 -0.000000
