# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0220274 -----------------
#dely    BF
0.050 0.032831 0.000174
0.150 -0.027890 -0.000161
0.250 -0.041816 -0.000279
0.350 -0.041275 -0.000326
0.450 -0.032218 -0.000302
0.550 -0.030467 -0.000339
0.650 -0.027328 -0.000354
0.750 -0.018461 -0.000279
0.850 -0.014558 -0.000252
0.950 -0.009615 -0.000200
1.050 -0.005645 -0.000143
1.150 -0.002961 -0.000094
1.250 -0.000695 -0.000032
1.350 -0.000207 -0.000013
1.450 0.000035 0.000005
1.550 -0.000005 -0.000002
1.650 0.000000 0.000000
1.750 0.000000 0.000000
