# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0449164 -----------------
#dely    BF
0.050 0.105399 0.000202
0.150 0.095409 0.000189
0.250 0.079142 0.000168
0.350 0.060687 0.000140
0.450 0.044561 0.000114
0.550 0.030387 0.000088
0.650 0.019631 0.000064
0.750 0.011402 0.000043
0.850 0.005942 0.000026
0.950 0.001981 0.000010
1.050 -0.000530 -0.000003
1.150 -0.001351 -0.000010
1.250 -0.001516 -0.000014
1.350 -0.001204 -0.000015
1.450 -0.000598 -0.000011
1.550 -0.000170 -0.000005
1.650 -0.000008 -0.000001
1.750 0.000000 0.000000
