# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.374094 -----------------
#dely    BF
0.050 0.662785 0.000215
0.150 0.609395 0.000204
0.250 0.547107 0.000191
0.350 0.475887 0.000173
0.450 0.401480 0.000154
0.550 0.324155 0.000131
0.650 0.253341 0.000109
0.750 0.190515 0.000088
0.850 0.134890 0.000067
0.950 0.088483 0.000048
1.050 0.051543 0.000031
1.150 0.026158 0.000017
1.250 0.007022 0.000005
1.350 -0.003679 -0.000003
1.450 -0.009648 -0.000010
1.550 -0.009142 -0.000011
1.650 -0.006888 -0.000011
1.750 -0.002460 -0.000007
