# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00462396 -----------------
#dely    BF
0.050 -0.010537 -0.000010
0.150 -0.010481 -0.000010
0.250 -0.009023 -0.000009
0.350 -0.006355 -0.000007
0.450 -0.004937 -0.000005
0.550 -0.003915 -0.000005
0.650 -0.002077 -0.000003
0.750 -0.001011 -0.000001
0.850 -0.000505 -0.000001
0.950 0.000034 0.000000
1.050 0.000256 0.000000
1.150 0.000483 0.000001
1.250 0.000594 0.000002
1.350 0.000517 0.000002
1.450 0.000483 0.000002
1.550 0.000190 0.000001
1.650 0.000041 0.000001
1.750 0.000001 0.000000
