# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.110752 -----------------
#dely    BF
0.050 -0.077412 -0.000025
0.150 -0.080041 -0.000027
0.250 -0.085349 -0.000030
0.350 -0.087463 -0.000032
0.450 -0.095767 -0.000037
0.550 -0.098695 -0.000040
0.650 -0.098223 -0.000042
0.750 -0.095848 -0.000044
0.850 -0.091099 -0.000045
0.950 -0.080199 -0.000043
1.050 -0.069405 -0.000041
1.150 -0.056232 -0.000037
1.250 -0.041752 -0.000031
1.350 -0.027339 -0.000023
1.450 -0.014947 -0.000015
1.550 -0.006777 -0.000008
1.650 -0.001189 -0.000002
1.750 0.000215 0.000001
