# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.101094 -----------------
#dely    BF
0.050 -0.137343 -0.000042
0.150 -0.128177 -0.000040
0.250 -0.116233 -0.000038
0.350 -0.102071 -0.000035
0.450 -0.089583 -0.000033
0.550 -0.076779 -0.000030
0.650 -0.066158 -0.000028
0.750 -0.056321 -0.000026
0.850 -0.048209 -0.000024
0.950 -0.041824 -0.000023
1.050 -0.036537 -0.000022
1.150 -0.031174 -0.000021
1.250 -0.025723 -0.000020
1.350 -0.020510 -0.000018
1.450 -0.015512 -0.000017
1.550 -0.010747 -0.000014
1.650 -0.006156 -0.000011
1.750 -0.001882 -0.000006
