# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00647905 -----------------
#dely    BF
0.050 0.020823 0.000020
0.150 0.019458 0.000019
0.250 0.017782 0.000018
0.350 0.015277 0.000016
0.450 0.011712 0.000013
0.550 0.008002 0.000009
0.650 0.004119 0.000005
0.750 0.000158 0.000000
0.850 -0.002482 -0.000004
0.950 -0.005069 -0.000009
1.050 -0.006239 -0.000012
1.150 -0.006645 -0.000015
1.250 -0.005203 -0.000014
1.350 -0.003691 -0.000012
1.450 -0.002207 -0.000010
1.550 -0.000889 -0.000006
1.650 -0.000116 -0.000002
1.750 -0.000000 -0.000000
